Commodity,May 2021,June 2021,July 2021,August 2021,September 2021
Cheddar cheese,13207,14225,14919,13570,13020
Speciality cheese,27761,32468,29386,27314,27087
Cottage cheese ,1977,2010,1799,2006,1974
Mozzarella cheese,12566,12252,12212,16331,14040
Havarti cheese,611,623,674,679,414
Emmental and swiss cheese,982,783,807,655,520
Parmesan cheese,1621,1040,1025,1001,869
Ricotta cheese,727,1290,627,822,886
Total,59691,64691,61449,62378,58810
