Country,GDP(Trillion),GDP Per Capita(k),Growth(%)
United States,22.94,69.38,5.97
China,16.86,11.89,8.02
Japan,5.10,40.70,2.36
Germany,4.23,50.79,3.05
United Kingdom,3.11,46.20,6.76
